2023-11-06 09:27:28, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:28, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:27:28, plc-worker.js, Bastian Monitor, Bastian, Error: TIMEOUT occurred while writing Reading Tag Group.
2023-11-06 09:27:28, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:28, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:27:39, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:27:39, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:39, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:27:39, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:27:39, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:39, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:27:39, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:27:39, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:39, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:27:49, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:27:49, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:49, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:27:49, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:27:49, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:49, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:27:49, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:27:49, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:49, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:28:00, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:28:00, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:00, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:28:00, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:28:00, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:00, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:28:00, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:28:00, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
